,full_name,age,religion,workclass,demographic_characteristic,relationship,race,workclass,town,Cluster Id - KMeans
4,Miss Brett Carol Fletcher,28.0,Christianity,Private,338409.0,Wife,Black,Private,Swindon,1
5,Dr. Christopher Barker,38.0,Christianity,Private,284582.0,Wife,White,Private,Leicester,1
8,Hugh Stacey Armstrong,31.0,Christianity,Private,45781.0,Not-in-family,White,Private,Swindon,1
9,Mr. Mathew Andrew Fox,42.0,Christianity,Private,159449.0,Husband,White,Private,South Caroline,1
11,Carl Brandon Dale,31.0,Christianity,State-gov,141297.0,Husband,Asian-Pac-Islander,State-gov,Bethanbury,1
12,Miss Christian Barton,24.0,Not Stated,Private,122272.0,Own-child,White,Private,Edinburgh,1
13,Dr. Declan Hart,31.0,Christianity,Private,205019.0,Not-in-family,Black,Private,Bristol,1
15,Mr. Raymond Dylan Nicholson,26.0,Christianity,Self-emp-not-inc,176756.0,Own-child,White,Self-emp-not-inc,Edinburgh,1
16,Mr. Benjamin Bartlett,33.0,Christianity,Private,186824.0,Unmarried,White,Private,Edinburgh,1
24,Mr. Joseph Price,19.0,Christianity,Private,168294.0,Own-child,White,Private,Edinburgh,1
28,Dr. Robin Davies,24.0,Christianity,Local-gov,190709.0,Not-in-family,White,Local-gov,Bristol,1
29,Dylan Sinclair,20.0,Christianity,Private,266015.0,Own-child,Black,Private,Edinburgh,1
31,Ricky Mitchell,31.0,Christianity,Federal-gov,59951.0,Own-child,White,Federal-gov,Leeds,1
32,Mr. Leonard Paul Harvey,22.0,Christianity,State-gov,311512.0,Husband,Black,State-gov,Edinburgh,1
34,Rhys Newman,21.0,Christianity,Private,197200.0,Own-child,White,Private,Edinburgh,1
35,Dr. Luke Morley,20.0,Christianity,Private,510072.0,Wife,White,Private,Edinburgh,1
36,Callum Mohamed Fox,31.0,Christianity,Private,84154.0,Husband,White,Private,Bristol,1
38,Mr. Norman Watkins,32.0,Christianity,Private,507875.0,Husband,White,Private,Edinburgh,1
40,Mr. Mohamed Rowe,25.0,Christianity,Private,172987.0,Husband,White,Private,Karenmouth,1
42,Max Garry Hill,25.0,Sikhism,Private,289980.0,Not-in-family,White,Private,Edinburgh,1
47,Leigh Kieran Smith,29.0,Christianity,Private,271466.0,Not-in-family,White,Private,Bristol,1
48,Mrs. Henry Taylor,26.0,Christianity,Private,32275.0,Wife,Other,Private,Edinburgh,1
49,Ms. Lee Bradshaw,18.0,Not Stated,Private,226956.0,Own-child,White,Private,Edinburgh,1
53,Terence Davey,47.0,Christianity,Private,216666.0,Husband,White,Private,Edinburgh,1
54,Mr. Samuel Powell,35.0,Christianity,Private,56352.0,Husband,White,Private,Edinburgh,1
55,Mr. Victor Palmer,42.0,Christianity,Private,147372.0,Husband,White,Private,Edinburgh,1
56,Shane Smith,31.0,Christianity,Private,188146.0,Husband,White,Private,Edinburgh,1
63,George Jones,26.0,Christianity,?,200681.0,Own-child,White,?,Edinburgh,1
64,Jake Gerard Perry,19.0,Christianity,Private,101509.0,Own-child,White,Private,Edinburgh,1
65,Ms. Steven Jenna Wood,31.0,Not Stated,Private,309974.0,Own-child,Black,Private,Edinburgh,1
66,Howard Harris,29.0,Christianity,Self-emp-not-inc,162298.0,Husband,White,Self-emp-not-inc,Leeds,1
67,Ashley Jackson,24.0,Christianity,Private,211678.0,Not-in-family,White,Private,Edinburgh,1
69,Dr. Glen Jonathan Fraser,28.0,Christianity,Private,213921.0,Own-child,White,Private,Edinburgh,1
70,Alex Conor Jones,40.0,Christianity,Private,32214.0,Husband,White,Private,Leeds,1
72,Mrs. Harry Sharon Boyle,18.0,Christianity,Private,309634.0,Own-child,White,Private,Edinburgh,1
73,Mr. Marcus Edwards,32.0,Christianity,Local-gov,125927.0,Husband,White,Local-gov,Edinburgh,1
74,Mr. Barry Benjamin Martin,18.0,Christianity,Private,446839.0,Not-in-family,White,Private,Edinburgh,1
78,Elliott Francis,54.0,Christianity,Private,346253.0,Own-child,White,Private,Edinburgh,1
80,Mr. Oliver Evans,34.0,Not Stated,Private,202051.0,Husband,White,Private,Swindon,1
81,Mr. Brett Baker,30.0,Christianity,Private,54334.0,Not-in-family,White,Private,Edinburgh,1
85,Glen Beverley Jones,28.0,Christianity,Private,212563.0,Unmarried,Black,Private,Edinburgh,1
