,full_name,age,religion,workclass,demographic_characteristic,relationship,race,workclass,town,Cluster Id - KMeans
10,Aaron Arthur Griffiths,38.0,Christianity,Private,280464.0,Husband,Black,Private,Edinburgh,0
17,Bradley Rose,38.0,Christianity,Private,28887.0,Husband,White,Private,Bristol,0
19,Dr. Christopher Joseph Lloyd,40.0,Christianity,Private,193524.0,Husband,White,Private,Swindon,0
23,Mr. James Philip Bradshaw,56.0,Christianity,Local-gov,216851.0,Husband,White,Local-gov,Oxford,0
43,Mr. Garry Wilson,58.0,Christianity,Federal-gov,337895.0,Husband,Black,Federal-gov,Swindon,0
58,Bryan Schofield,42.0,Hinduism,Private,116632.0,Husband,White,Private,Swindon,0
59,Mr. Gerald Robinson,30.0,Not Stated,Private,105598.0,Not-in-family,White,Private,Edinburgh,0
79,Sam Roberts,49.0,Christianity,Local-gov,268234.0,Husband,White,Local-gov,Swindon,0
87,Mr. Christian Hayes,35.0,Hinduism,Local-gov,226296.0,Husband,White,Local-gov,Swindon,0
113,Darren Jeremy Jones,41.0,Christianity,Private,118853.0,Husband,White,Private,Swindon,0
118,Donald Dobson,31.0,Christianity,Private,114937.0,Husband,White,Private,Lake Amelia,0
132,Mrs. Phillip Ali,45.0,Christianity,Private,196584.0,Not-in-family,White,Private,Swindon,0
143,Ross Martin,48.0,Christianity,Private,187715.0,Husband,White,Private,Oxford,0
152,Dr. Lawrence Clarke,46.0,Christianity,Self-emp-not-inc,201080.0,Husband,White,Self-emp-not-inc,Toddstad,0
155,Mr. Benjamin Hughes,46.0,Islam,State-gov,102628.0,Unmarried,White,State-gov,Edinburgh,0
176,Mr. Jonathan Aaron Cole,58.0,Christianity,State-gov,109567.0,Husband,White,State-gov,Edinburgh,0
190,Mr. Colin Smith,37.0,Christianity,Private,128757.0,Husband,Black,Private,Swindon,0
192,Matthew Fitzgerald,58.0,Christianity,Self-emp-inc,210563.0,Wife,White,Self-emp-inc,Swindon,0
194,Donald Craig Cooke,44.0,Christianity,Local-gov,160943.0,Husband,Black,Local-gov,Leeds,0
222,Mr. Bernard Tom Wall,40.0,Christianity,Private,347890.0,Husband,White,Private,Swindon,0
229,Anthony Townsend,41.0,Christianity,Private,207578.0,Husband,White,Private,Hurstland,0
234,Ben Davison,59.0,Christianity,Private,259014.0,Not-in-family,White,Private,Edinburgh,0
235,Roger Allen,42.0,Christianity,Self-emp-not-inc,303044.0,Husband,Asian-Pac-Islander,Self-emp-not-inc,Lake Shirley,0
245,Mr. Stephen Adams,37.0,Christianity,Self-emp-inc,257295.0,Husband,Asian-Pac-Islander,Self-emp-inc,Swindon,0
264,Mr. Jeremy Graham,58.0,Not Stated,Federal-gov,425161.0,Husband,White,Federal-gov,Swindon,0
265,Mr. Connor Clive Hill,42.0,Christianity,Private,220531.0,Husband,White,Private,Swindon,0
269,Shaun Owen Pollard,36.0,Not Stated,Private,200352.0,Husband,White,Private,Gailville,0
275,Jeremy Katie Thomas,38.0,Christianity,Self-emp-inc,57424.0,Not-in-family,White,Self-emp-inc,Leeds,0
276,Howard Jones,39.0,Not Stated,?,157443.0,Wife,Asian-Pac-Islander,?,Edinburgh,0
301,Mr. Gregory Ryan Hudson,74.0,Christianity,Self-emp-not-inc,174309.0,Husband,White,Self-emp-not-inc,Edinburgh,0
316,Jamie Leon Baker,38.0,Not Stated,Private,296478.0,Husband,White,Private,Swindon,0
317,Alex Philip Morris,37.0,Christianity,State-gov,119272.0,Husband,White,State-gov,Barbaraberg,0
340,Tom Jennifer Rowe,58.0,Hinduism,Private,212448.0,Not-in-family,White,Private,Edinburgh,0
346,Mrs. Iain Miller,33.0,Islam,Private,267404.0,Wife,White,Private,Bristol,0
352,Ms. Victor Hall,47.0,Christianity,Private,108699.0,Not-in-family,White,Private,Edinburgh,0
361,Mr. Dennis Norris,35.0,Christianity,State-gov,98101.0,Husband,White,State-gov,Swindon,0
363,Mr. Sean Perkins,44.0,Christianity,Private,115562.0,Husband,White,Private,Dylanland,0
374,Mrs. Shane Gallagher,28.0,Christianity,?,123147.0,Wife,White,?,Swindon,0
378,Dr. Charles Jones,46.0,Christianity,Private,188386.0,Husband,White,Private,Swindon,0
389,Gerard Saunders,26.0,Christianity,Private,133373.0,Husband,White,Private,Swindon,0
399,Mrs. Jamie Davies,34.0,Christianity,Local-gov,117018.0,Not-in-family,White,Local-gov,Edinburgh,0
413,Geoffrey Williams,40.0,Christianity,Private,72887.0,Husband,Asian-Pac-Islander,Private,Adrianland,0
421,Miss Ian Stephenson,38.0,Christianity,Private,126708.0,Wife,White,Private,Patelfort,0
423,Dr. Denis Glenn Patel,50.0,Christianity,Private,192776.0,Husband,White,Private,Edinburgh,0
448,Glenn Phillips,63.0,Not Stated,Local-gov,114060.0,Husband,White,Local-gov,Edinburgh,0
479,Ms. James Talbot,33.0,Christianity,?,190027.0,Unmarried,Black,?,Edinburgh,0
492,Ms. David Lamb,35.0,Christianity,Private,229328.0,Wife,Black,Private,Oxford,0
521,Mr. Raymond Stanley Walker,31.0,Christianity,Self-emp-not-inc,340939.0,Not-in-family,White,Self-emp-not-inc,Edinburgh,0
553,Mr. Thomas Karl Chan,53.0,Christianity,Self-emp-inc,51048.0,Husband,White,Self-emp-inc,Swindon,0
569,Mr. Jeffrey Billy Dobson,58.0,Christianity,Self-emp-not-inc,35723.0,Husband,White,Self-emp-not-inc,Kimberleyburgh,0
574,Dr. Trevor Stephens,52.0,Christianity,Self-emp-not-inc,289436.0,Husband,White,Self-emp-not-inc,Swindon,0
595,Dr. William Stevenson,36.0,Christianity,Private,261293.0,Not-in-family,White,Private,Oxford,0
606,Dr. Daniel Robson,33.0,Christianity,Private,182556.0,Husband,White,Private,Aliberg,0
614,Mr. Daniel Ross Brooks,37.0,Not Stated,Private,161141.0,Husband,White,Private,Leeds,0
618,Dr. Victor Elliott,41.0,Christianity,Private,195124.0,Not-in-family,White,Private,Edinburgh,0
622,Clifford Timothy Barber,43.0,Christianity,Private,262425.0,Husband,White,Private,Leeds,0
628,Stewart Norman Rowley,36.0,Christianity,Local-gov,110866.0,Not-in-family,White,Local-gov,Leeds,0
646,Douglas Skinner,42.0,Christianity,Private,125831.0,Husband,White,Private,Edinburgh,0
649,Mr. Elliott Day,44.0,Other religions,Private,177937.0,Not-in-family,White,Private,Oxford,0
667,Mr. Henry Hayes,27.0,Christianity,Private,112847.0,Own-child,White,Private,Edinburgh,0
674,Joe Geoffrey Pearson,30.0,Christianity,State-gov,356089.0,Husband,White,State-gov,Swindon,0
685,Mr. Cameron Stephenson,53.0,Christianity,Self-emp-inc,128272.0,Husband,White,Self-emp-inc,Glennburgh,0
693,Dr. Leon Potter,38.0,Christianity,Private,327323.0,Not-in-family,White,Private,Edinburgh,0
695,Roger Deborah Ingram,37.0,Not Stated,Private,280282.0,Wife,White,Private,West Lucy,0
702,Albert David Taylor,43.0,Christianity,State-gov,146908.0,Husband,White,State-gov,Bristol,0
723,Guy Hugh Murray,32.0,Christianity,Private,231043.0,Husband,White,Private,Lincoln,0
748,Joel Reynolds,53.0,Christianity,Private,194259.0,Wife,White,Private,Swindon,0
767,Andrew Samuel Porter,48.0,Christianity,State-gov,327886.0,Own-child,White,State-gov,Swindon,0
775,Bryan Wells,29.0,Christianity,Self-emp-inc,142712.0,Husband,White,Self-emp-inc,Lake Tonyburgh,0
789,Mr. Mohammed Ronald Robinson,39.0,Christianity,Private,95336.0,Husband,White,Private,Swindon,0
818,Mr. Joel Cartwright,40.0,Not Stated,Private,202027.0,Husband,White,Private,Lincoln,0
819,Mrs. Jeffrey Wood,43.0,Christianity,Private,158926.0,Wife,Asian-Pac-Islander,Private,Edinburgh,0
820,Dylan Wright,67.0,Christianity,Self-emp-inc,76860.0,Husband,Asian-Pac-Islander,Self-emp-inc,Swindon,0
834,Mr. Ben Graham Smith,52.0,Christianity,Local-gov,241843.0,Husband,White,Local-gov,Edinburgh,0
836,Mr. Carl William Mason,38.0,Christianity,Private,186934.0,Husband,White,Private,Edinburgh,0
880,Kevin Adam Ross,46.0,Christianity,Local-gov,318280.0,Not-in-family,White,Local-gov,West Tonyburgh,0
895,Mr. Graeme Potter,39.0,Christianity,Self-emp-inc,329980.0,Husband,White,Self-emp-inc,Swindon,0
897,Dr. Liam Smith,50.0,Christianity,Private,168212.0,Husband,White,Private,Swindon,0
909,Graeme Elliott,42.0,Christianity,Private,118494.0,Husband,White,Private,Bristol,0
917,Dr. Elliott Smith,48.0,Not Stated,Local-gov,123075.0,Husband,White,Local-gov,Swindon,0
936,Victor Rhys Alexander,44.0,Christianity,Private,167005.0,Husband,White,Private,Newmanborough,0
958,Mr. Thomas Taylor,36.0,Christianity,Private,29984.0,Husband,White,Private,Lake Maureen,0
959,Timothy Brown,31.0,Christianity,Private,181651.0,Husband,White,Private,Swindon,0
963,Mrs. Marcus Sophie Jones,48.0,Not Stated,State-gov,55863.0,Wife,White,State-gov,Swindon,0
972,Mr. Shane Kelly,42.0,Christianity,Local-gov,195258.0,Husband,White,Local-gov,Swindon,0
984,Miss Charlie Amber Cook,29.0,Not Stated,Self-emp-inc,260729.0,Wife,White,Self-emp-inc,Swindon,0
987,Mr. Josh Bruce Jones,46.0,Christianity,Self-emp-inc,149865.0,Husband,White,Self-emp-inc,Swindon,0
989,Miss Kieran Banks,34.0,Christianity,Self-emp-not-inc,196791.0,Wife,White,Self-emp-not-inc,Swindon,0
1009,Phillip Thompson,41.0,Christianity,Self-emp-not-inc,154374.0,Unmarried,White,Self-emp-not-inc,Edinburgh,0
1016,Mr. Elliott Benjamin Gibson,31.0,Christianity,Private,184307.0,Husband,White,Private,Guyfort,0
1017,Dr. Stewart Ward,46.0,Christianity,Self-emp-not-inc,246212.0,Husband,White,Self-emp-not-inc,Oxford,0
1045,William Jones,51.0,Christianity,Private,133963.0,Wife,White,Private,Swindon,0
1057,Mr. Terry Victor Abbott,50.0,Christianity,State-gov,356619.0,Husband,White,State-gov,Swindon,0
1061,Ms. Edward Smith,40.0,Christianity,Private,216237.0,Not-in-family,White,Private,Sunderland,0
1065,Dr. Clifford Ward,50.0,Not Stated,?,165637.0,Husband,White,?,Swindon,0
1073,Mr. Brett Christian Dyer,29.0,Christianity,Private,444304.0,Husband,White,Private,Swindon,0
1078,Mr. Carl Luke Ferguson,45.0,Christianity,Federal-gov,320818.0,Husband,Black,Federal-gov,Swindon,0
1079,Mr. Neil Glen Lambert,31.0,Christianity,Local-gov,235271.0,Husband,White,Local-gov,Swindon,0
1085,Frank Stephen Robertson,37.0,Christianity,Private,135289.0,Husband,White,Private,Edinburgh,0
1103,Daniel Jeffrey Atkins,44.0,Christianity,Private,413297.0,Husband,White,Private,Stephensonfurt,0
1116,Mr. Jay Paul Cooper,55.0,Christianity,Self-emp-inc,166459.0,Husband,White,Self-emp-inc,Swindon,0
1120,Mr. Aaron Howell,48.0,Islam,Self-emp-not-inc,397466.0,Husband,White,Self-emp-not-inc,Lake Daniel,0
1151,Hugh Barlow,50.0,Hinduism,Private,88926.0,Wife,White,Private,Sunderland,0
1178,Phillip Norton,33.0,Christianity,Private,509350.0,Husband,White,Private,Mauricehaven,0
1199,Mr. Duncan Burton,40.0,Christianity,Private,174938.0,Not-in-family,White,Private,Leicester,0
1211,Geoffrey Humphries,32.0,Christianity,Self-emp-inc,199765.0,Husband,White,Self-emp-inc,Swindon,0
1247,Jason Robin O'Neill,41.0,Christianity,Local-gov,289403.0,Husband,Black,Local-gov,Swindon,0
